DAAG 36.68 3.22 300 23
DAAE 36.72 5.07 280 15
DAAD 35.32 4.2 320 34
LIVM 44.45 12.3 0 3
LIVE 46.82 10.5 210 4
LIVC 44.2 10.68 240 10
LIRX 42.73 10.38 160 6
LIRV 42.42 12.07 360 5
LIRT 41.03 15.22 280 11
LIRS 42.75 11.07 140 4
LIRL 41.53 12.9 170 5
LIRK 42.47 12.97 280 5
LIRH 41.65 13.3 150 5
LIQO 42.38 11.17 180 4
LIQC 40.55 14.2 220 3
LIPL 45.42 10.27 230 1
LIPC 44.22 12.3 50 4
LIMH 45.93 7.7 320 6
LIEB 39.93 9.72 320 14
LICZ 37.4 14.92 260 15
LICT 37.92 12.5 220 8
LICF 38.2 15.55 230 2
LIBV 40.77 16.93 170 9
LIBQ 39.32 16.38 270 8
LIBN 40.23 18.13 210 8
LIBA 41.53 15.72 110 4
EBLB 50.47 6.17 250 4
LXGB 36.15 -5.33 280 18
LTFD 39.55 27.02 200 10
LTBQ 40.73 30.07 190 14
LTBO 38.67 29.47 170 15
LTBH 40.13 26.42 190 24
LTBF 39.62 27.92 180 26
LTAY 37.78 29.7 140 19
LSZL 46.17 8.88 0 2
LIRI 40.62 14.92 190 6
LICG 36.82 11.97 200 12
LIBF 41.42 15.53 120 6
LIBC 39 17.07 220 14
LGZA 37.75 20.88 200 8
LGSO 37.42 24.95 220 9
LGSM 37.68 26.92 140 20
LGSK 39.18 23.5 200 7
LGKC 36.28 23.02 230 9
LGHI 38.33 26.13 170 13
ETNG 50.97 6.03 310 5
EKVJ 55.98 8.35 90 3
EKVD 55.43 9.32 90 7
EGXU 54.05 -1.25 50 4
EGQM 55.42 -1.6 50 7
EGQL 56.38 -2.87 40 8
EGQK 57.65 -3.57 290 3
EGOP 51.72 -4.37 110 6
EGOM 55.05 -2.55 80 9
EDAH 53.87 14.15 110 11
